prenom;nom;jour_naissance;mois_naissance;annee_naissance;famille;ad1_numero;ad1_post_code;ad1_ville;ad1_street;ad1_type;ad1_Pays;ad2_numero;ad2_post_code;ad2_ville;ad2_street;ad2_type;ad2_Pays
Ildefonse;Coisne;17;5;1926;Charles;28;73878;Madrid;Royale;DeadEnd;Grande-Bretagne;54;91666;Nantes;du Rock;Street;France
Ildut;Petit;27;4;1937;Henry;96;86352;Miami;de la pompe;Avenue;Maroc;96;47291;Bath;Caillard;Road;USA
Iléa;Coisne;24;3;1991;Paul;91;70749;Bath;Jean Jaurès;Road;France;37;41662;Lille;du Fion;Avenue;France
Iléana;Martin;29;9;1987;Charles;31;23582;Lille;du Fion;Road;Grande-Bretagne;14;90732;Nantes;de Paris;Road;USA
Ilia;CoolName;8;12;1952;Charles;81;35103;Paris;Pernetti;Avenue;Grande-Bretagne;69;62504;Londres;du Rock;Road;Maroc
Iliana;Petit;8;1;1969;Charles;75;81400;Casablanca;Gaité;Road;France;92;23062;Lille;Zinedine Zidane;Avenue;France
Ilija;Bernard;21;12;2013;Paul;33;67902;Paris;Royale;DeadEnd;Maroc;3;98720;Paris;Denfert;Road;USA
Iliona;Bernard;2;6;1967;Henry;99;98754;Madrid;Denfert;Avenue;France;43;51518;Bath;de Ségur;Road;Maroc
Ilioné;Coisne;19;4;1933;Charles;5;34519;Marseilles;de Ségur;Boulevard;Grande-Bretagne;43;62345;Los Angeles;des Princes;Avenue;France
Illide;Bernard;5;12;2006;Paul;37;73002;Madrid;Charonne;Avenue;France;29;57192;Marseilles;Gaité;Avenue;USA
Ilona;Martin;27;7;1924;Paul;22;86462;Madrid;du Rock;Street;Grande-Bretagne;47;11497;Londres;Gaité;Avenue;USA
Ilya;Martin;22;9;1955;Paul;65;41935;Cardiff;Gaité;Avenue;Maroc;46;31070;New York;de Ségur;Road;France
Imane;Bernard;19;1;1973;Paul;28;62237;Paris;D'Aguesseau;Road;Grande-Bretagne;23;27334;Paris;Royale;Street;USA
Imanol;Bernard;16;12;1965;Paul;36;74593;Londres;des Princes;DeadEnd;Grande-Bretagne;97;35057;New York;Tahère;DeadEnd;USA
Imbert;Martin;14;6;1984;Paul;60;87067;Los Angeles;Denfert;DeadEnd;USA;29;39585;Miami;Semard;Street;Grande-Bretagne
Imelda;CoolName;7;10;1917;Paul;49;68524;Cardiff;Denfert;Street;Grande-Bretagne;85;61190;Miami;Jean Valjean;Boulevard;Maroc
Imélie;CoolName;19;4;2010;Paul;96;76771;Lille;Charonne;DeadEnd;Grande-Bretagne;65;36168;Cardiff;de la pompe;Avenue;Maroc
Immacolata;CoolName;29;6;1928;Henry;77;32711;Bath;du Fion;Street;USA;90;70027;Lille;Picasso;Road;USA
Imre;Petit;8;11;1919;Paul;58;99140;Bath;Obama;DeadEnd;USA;1;40435;Casablanca;Jean Valjean;Avenue;France
Inaya;Coisne;16;5;1942;Paul;98;33134;Miami;De Gaulle;DeadEnd;France;53;54545;Casablanca;de Paris;Street;USA
India;Martin;5;2;1933;Paul;40;41024;Paris;du Fion;Street;USA;27;63078;Bordeaux;des Princes;Street;France
Inès;Coisne;22;7;1921;Charles;50;58376;Miami;Tahère;Road;France;12;33524;New York;du Fion;Road;Maroc
Ingeborg;Petit;20;8;1942;Charles;23;73880;Londres;D'Aguesseau;DeadEnd;Maroc;5;70993;Miami;Royale;Road;Grande-Bretagne
Jogues;Coisne;19;10;1977;Henry;92;94164;Lille;Royale;Boulevard;USA;16;70356;Casablanca;Charonne;DeadEnd;France
Johan;Martin;3;4;1980;Henry;6;14409;Londres;Pernetti;Avenue;Grande-Bretagne;26;41922;Marseilles;Jean Valjean;Boulevard;Grande-Bretagne
Johanna;Bernard;26;4;1985;Paul;66;61777;Los Angeles;Semard;Boulevard;France;61;46947;Cardiff;Caillard;Boulevard;Grande-Bretagne
Johanne;CoolName;21;2;1940;Charles;2;61724;Lille;Paul Lelent;Road;Maroc;32;41612;Cardiff;des Princes;Boulevard;Maroc
Johannes;Coisne;23;12;2006;Henry;85;84307;Cardiff;D'Aguesseau;Road;France;31;19293;Casablanca;Semard;Avenue;Grande-Bretagne
Johany;Martin;28;3;1919;Charles;57;40140;Nantes;D'Aguesseau;DeadEnd;France;3;87365;Madrid;de Paris;DeadEnd;USA
John;CoolName;4;8;1955;Henry;58;56633;Madrid;D'Aguesseau;DeadEnd;France;95;55062;Miami;Tahère;DeadEnd;Maroc
Johnny;CoolName;27;8;1919;Paul;45;59742;Londres;Gaité;Boulevard;Maroc;28;69288;Nantes;des Princes;DeadEnd;Grande-Bretagne
Jolaine;Martin;18;3;2008;Henry;51;14240;New York;du Fion;Avenue;USA;28;91205;Bordeaux;Obama;Street;Maroc
Jolan;Coisne;14;5;1995;Charles;13;56647;Lille;Gaité;Road;France;39;80485;Lille;du Fion;Road;Maroc
Joliane;Martin;21;3;1929;Paul;58;21906;Los Angeles;Tahère;Avenue;Maroc;78;96322;Lille;Obama;DeadEnd;Maroc
Jolien;Petit;25;9;2007;Paul;95;32854;New York;Jean Jaurès;Avenue;USA;43;85826;Bath;Jean Valjean;Road;USA
Jolina;Petit;4;9;1935;Charles;81;66576;Los Angeles;Royale;Avenue;USA;5;25904;Los Angeles;D'Aguesseau;Street;USA
Jollian;Petit;16;4;1935;Charles;88;73197;New York;Jean Jaurès;Boulevard;France;72;25011;New York;Pernetti;DeadEnd;Grande-Bretagne
Jolyanne;Bernard;9;1;1933;Charles;56;75921;New York;D'Aguesseau;Avenue;France;63;93306;Casablanca;du Rock;Avenue;USA
Jonah;Coisne;4;1;1941;Henry;52;22197;Casablanca;de Paris;Boulevard;France;37;30627;New York;Pernetti;DeadEnd;Maroc
Jonas;Coisne;26;10;1975;Charles;55;72325;Los Angeles;Picasso;Avenue;Maroc;51;27741;Miami;Gaité;Street;Grande-Bretagne
Jonathan;Coisne;2;6;1939;Henry;77;66154;Bordeaux;de la pompe;Street;France;45;11414;Paris;Pernetti;Road;France
Jonel;Martin;4;12;1980;Charles;77;17929;New York;Paul Lelent;Road;Maroc;77;74300;Miami;Royale;Street;Grande-Bretagne
Joran;CoolName;1;9;1962;Paul;3;12212;Londres;Voltaire;Road;Maroc;15;29222;Marseilles;Pétain;Road;France
Jordan;Coisne;14;6;1964;Paul;32;39559;Madrid;Denfert;DeadEnd;USA;72;51671;Lille;Jean Valjean;Avenue;USA
Jordane;Martin;23;7;1952;Charles;37;16299;Miami;Picasso;Boulevard;France;62;69452;Londres;de Ségur;Road;USA
Jordi;Coisne;12;7;1960;Paul;21;97219;Casablanca;Caillard;Avenue;Grande-Bretagne;70;92363;Bordeaux;du Rock;Street;Maroc
Jore;CoolName;20;7;2013;Henry;73;97704;Nantes;Gaité;Road;Grande-Bretagne;13;29983;Lille;Zinedine Zidane;Boulevard;Grande-Bretagne
Jorge;Petit;14;5;1933;Henry;72;21418;Nantes;Gaité;Street;Maroc;72;98192;Londres;du Fion;Road;Maroc
Jorgi;Coisne;8;1;1983;Charles;70;23692;Marseilles;Pernetti;Street;Maroc;36;69104;Casablanca;Gaité;Road;USA
Jorick;Bernard;5;4;1986;Paul;64;48540;Bordeaux;de Ségur;Avenue;USA;91;89427;Casablanca;Paul Lelent;DeadEnd;France
Jorioz;Petit;1;7;2015;Paul;89;70062;Londres;De Gaulle;DeadEnd;Grande-Bretagne;53;37790;Bath;des Princes;Street;USA
Joris;Petit;7;1;2017;Paul;18;22539;Casablanca;Charonne;Avenue;Grande-Bretagne;12;10943;Londres;Tahère;Boulevard;USA
Jory;Bernard;18;8;1975;Paul;44;84904;Bordeaux;du Rock;Boulevard;Maroc;46;44629;Marseilles;Pétain;Road;USA
Jorys;CoolName;7;5;1924;Charles;45;64685;Bordeaux;Pétain;Boulevard;Grande-Bretagne;76;63257;Bordeaux;du Rock;Boulevard;Maroc
Jos;Coisne;19;1;1927;Charles;48;37312;Los Angeles;de la pompe;Road;Grande-Bretagne;68;72644;Lille;De Gaulle;Street;Maroc
Josaphat;Martin;6;6;1991;Henry;16;21901;New York;du Fion;Road;Grande-Bretagne;48;68289;Los Angeles;du Rock;Street;USA
José;CoolName;14;6;1975;Charles;75;95006;Bordeaux;De Gaulle;DeadEnd;Maroc;56;79679;Miami;D'Aguesseau;Road;Grande-Bretagne
Josée;Coisne;17;1;1921;Charles;85;43576;Paris;Jean Valjean;Boulevard;Maroc;41;56325;Nantes;Voltaire;DeadEnd;Maroc
Josef;Martin;29;9;1918;Paul;15;45870;Bordeaux;du Rock;Boulevard;USA;47;74882;Marseilles;Pétain;Boulevard;Maroc
Kamil;Petit;27;4;1962;Paul;93;92233;Londres;de la pompe;Street;Maroc;86;37829;Los Angeles;Semard;Road;Grande-Bretagne
Kamila;Coisne;17;11;2002;Paul;54;30719;Bath;Semard;Street;Grande-Bretagne;87;55803;Marseilles;Picasso;DeadEnd;Grande-Bretagne
Kandida;CoolName;25;9;1927;Henry;38;25105;Nantes;Pernetti;DeadEnd;Maroc;57;31603;Bordeaux;de Paris;DeadEnd;Maroc
Karel;Petit;14;3;1943;Charles;69;12332;Marseilles;du Rock;Boulevard;USA;64;59897;Nantes;Pétain;Road;France
Karelle;Petit;11;9;1935;Charles;22;32068;Madrid;des Princes;Avenue;USA;88;85125;Madrid;de Paris;Avenue;USA
Karen;Martin;17;1;1926;Charles;67;78036;Marseilles;des Princes;DeadEnd;Maroc;20;18354;Madrid;de Paris;DeadEnd;Maroc
Karim;Martin;26;6;2004;Henry;25;29074;Miami;Denfert;Street;France;8;16639;Paris;Jean Valjean;DeadEnd;France
Karine;Coisne;25;7;1965;Paul;20;97594;Lille;Royale;Avenue;USA;8;26232;Madrid;Zinedine Zidane;Street;France
Karl;Coisne;17;12;1923;Paul;5;12824;Paris;Pernetti;DeadEnd;USA;54;74610;Bordeaux;des Princes;Avenue;USA
Karline;Bernard;7;2;1998;Paul;34;68619;Londres;du Rock;Street;France;3;40755;Los Angeles;de Ségur;Avenue;USA
Karol;Petit;24;12;1988;Henry;55;79821;Marseilles;des Princes;Street;Maroc;14;84633;Paris;du Rock;Road;France
Karoline;Coisne;19;5;2007;Paul;92;63096;New York;Voltaire;Avenue;Grande-Bretagne;16;75938;Cardiff;du Rock;Boulevard;USA
Kassy;Martin;2;3;1924;Henry;96;69280;Madrid;Caillard;DeadEnd;USA;77;86606;Paris;de Paris;Boulevard;Maroc
Kataleya;Petit;14;10;1952;Paul;94;38915;Cardiff;Semard;Street;Grande-Bretagne;43;25343;Madrid;de la pompe;Avenue;Grande-Bretagne
Katarzyna;Coisne;10;2;1983;Henry;68;97449;Madrid;Charonne;Boulevard;Grande-Bretagne;25;87987;Cardiff;Semard;Avenue;Maroc
Katell;Martin;30;6;1919;Charles;7;82777;Bath;D'Aguesseau;Road;France;53;15033;Cardiff;Jean Jaurès;Street;France
Kateri;Martin;17;1;1972;Charles;71;76094;Lille;Picasso;Road;Maroc;62;46483;Madrid;de la pompe;Boulevard;USA
Katherine;Martin;21;6;1927;Henry;17;10319;Casablanca;Pétain;Road;France;55;58825;Madrid;Zinedine Zidane;Boulevard;France
Kathleen;CoolName;12;8;1990;Paul;11;10304;Los Angeles;Denfert;DeadEnd;France;60;87513;New York;D'Aguesseau;Boulevard;USA
Kathryn;Petit;10;7;1986;Paul;17;36726;Bath;Semard;Street;Grande-Bretagne;78;85180;Marseilles;Gaité;Road;USA
Kathy;Martin;9;3;1938;Paul;4;27079;Cardiff;de la pompe;DeadEnd;Maroc;77;90854;Bordeaux;de la pompe;Street;Grande-Bretagne
Katia;Coisne;6;3;1972;Charles;96;28465;Londres;Royale;DeadEnd;USA;79;28044;Lille;Semard;Avenue;France
Katialyne;Coisne;29;10;1976;Paul;12;21255;Miami;Royale;Avenue;USA;36;75024;Bath;Obama;Street;USA
Katy;Coisne;14;2;2018;Henry;63;26968;Miami;Paul Lelent;DeadEnd;Grande-Bretagne;34;93815;Miami;Pernetti;Road;Maroc
Kay;Petit;4;2;1924;Paul;14;60672;Madrid;Voltaire;DeadEnd;USA;43;59048;Bordeaux;Paul Lelent;Avenue;Grande-Bretagne
Kayla;Coisne;8;4;1990;Paul;94;41192;Marseilles;de Paris;DeadEnd;Grande-Bretagne;79;41376;Lille;du Rock;Boulevard;USA
Kaylan;CoolName;22;4;1938;Charles;89;65306;Nantes;Royale;Street;France;75;18832;Los Angeles;Caillard;Boulevard;Grande-Bretagne
Kaylina;CoolName;24;1;2003;Paul;39;58035;Nantes;Gaité;Street;Maroc;9;29324;Cardiff;Paul Lelent;Street;USA
Keane;Petit;30;4;1921;Paul;10;14137;Bordeaux;Caillard;DeadEnd;Grande-Bretagne;31;52494;Londres;Semard;Boulevard;Grande-Bretagne
Keegan;Martin;16;5;1996;Henry;69;45951;Paris;Obama;Street;USA;73;78586;Casablanca;Picasso;Boulevard;Maroc
Keïla;Martin;8;9;1934;Charles;58;86727;Bath;Royale;DeadEnd;USA;77;89958;New York;Voltaire;Boulevard;Maroc
Keira;Petit;1;5;1983;Charles;84;34953;Casablanca;Zinedine Zidane;Avenue;France;91;12176;Londres;de Ségur;Avenue;USA
Kelian;Martin;11;3;2002;Henry;40;67249;Londres;Voltaire;Street;USA;77;57707;Bath;Jean Jaurès;Boulevard;Grande-Bretagne
Kelig;Martin;26;4;1934;Henry;54;65934;Los Angeles;du Fion;Road;France;41;61921;Los Angeles;des Princes;Road;USA
Kellia;Bernard;7;1;1941;Charles;39;66426;Londres;Paul Lelent;Avenue;Grande-Bretagne;97;21472;Paris;Charonne;Boulevard;Grande-Bretagne
Kelly;CoolName;7;1;1981;Charles;46;74790;Nantes;Charonne;Street;USA;85;76915;Los Angeles;Charonne;Road;USA
Kelvyn;Petit;10;1;1939;Charles;6;82334;Miami;Obama;DeadEnd;USA;44;66742;Nantes;Zinedine Zidane;Road;France
Kelya;Martin;15;9;1977;Paul;87;59345;Londres;Tahère;Avenue;Grande-Bretagne;66;82608;Londres;Pétain;Road;France
kelyan;CoolName;16;2;1990;Paul;18;75115;Los Angeles;Tahère;Boulevard;USA;68;11756;Bath;Semard;Road;Grande-Bretagne
Kémo;Coisne;28;5;2009;Paul;90;84286;Paris;De Gaulle;Road;USA;8;69277;Marseilles;Voltaire;DeadEnd;Maroc
Ken;Martin;24;7;1977;Charles;50;54970;Casablanca;Royale;Avenue;Grande-Bretagne;66;83101;Bath;Caillard;Avenue;Grande-Bretagne
Kenan;Bernard;24;11;1926;Henry;7;45479;Madrid;Jean Valjean;Boulevard;USA;97;20973;Bath;Tahère;Boulevard;Grande-Bretagne
Ladislas;CoolName;15;12;1994;Charles;10;16774;Nantes;Voltaire;Boulevard;Grande-Bretagne;45;49638;Miami;de Ségur;Boulevard;Grande-Bretagne
Laeticia;Petit;24;9;2005;Paul;70;18720;Nantes;Tahère;Boulevard;USA;80;68395;Miami;Voltaire;Road;USA
Laëtitia;Bernard;5;8;1962;Charles;96;17304;Bordeaux;Pernetti;Road;Maroc;98;13200;Marseilles;De Gaulle;Road;France
Lalie;Martin;13;7;2011;Charles;37;87519;Nantes;Denfert;Avenue;Maroc;44;27582;Lille;D'Aguesseau;Boulevard;USA
Laly;Bernard;14;6;1985;Charles;65;78034;Paris;Voltaire;DeadEnd;France;12;17317;Los Angeles;de la pompe;Street;USA
Lambert;Martin;27;1;1972;Henry;83;72579;Bath;Tahère;DeadEnd;France;24;91322;Bordeaux;Voltaire;Road;Maroc
Lambertine;Bernard;1;12;1939;Henry;79;90392;Paris;de la pompe;Avenue;France;51;77846;New York;Voltaire;DeadEnd;Grande-Bretagne
Lamé;Petit;2;12;1916;Henry;12;37382;Lille;Picasso;Avenue;Maroc;36;29114;Miami;Picasso;Road;France
Lamia;Petit;5;3;1950;Paul;42;60100;Lille;des Princes;Avenue;France;60;95929;Lille;de Paris;Road;Grande-Bretagne
Lamie;Bernard;29;8;2007;Henry;84;30354;Marseilles;Picasso;Avenue;USA;87;84097;Miami;Voltaire;Boulevard;USA
Lana;Bernard;3;9;1930;Charles;31;85189;Bath;Jean Jaurès;DeadEnd;USA;92;18276;Madrid;Picasso;DeadEnd;France
Lancelot;Coisne;17;12;2001;Henry;77;90155;New York;de Paris;Road;USA;40;82684;New York;Royale;Road;France
Landelin;Petit;18;2;1942;Henry;67;41145;Casablanca;de la pompe;Street;Maroc;71;77395;Cardiff;Jean Jaurès;Boulevard;Maroc
Landeline;CoolName;27;3;1916;Henry;79;70615;Paris;Royale;Boulevard;France;63;98791;Londres;du Fion;Avenue;Grande-Bretagne
Landoald;Martin;21;4;1965;Henry;24;49907;Casablanca;Pernetti;Avenue;Maroc;67;64231;Lille;Royale;Avenue;USA
Landrade;Martin;27;6;1917;Henry;13;50834;Londres;Jean Valjean;Avenue;Grande-Bretagne;82;97568;Cardiff;Voltaire;DeadEnd;Maroc
Landry;Bernard;5;3;1961;Henry;89;88717;Londres;Semard;DeadEnd;USA;77;97332;Nantes;des Princes;Street;USA
Lanfranc;Petit;16;10;1988;Paul;44;69211;Bordeaux;Royale;Boulevard;Maroc;28;53117;Marseilles;De Gaulle;Road;Maroc
Laodamie;Coisne;29;4;1950;Charles;60;86020;Bath;Pernetti;Avenue;Grande-Bretagne;99;60610;Cardiff;Voltaire;Boulevard;Grande-Bretagne
Laodicée;CoolName;29;11;2016;Charles;60;83683;Los Angeles;du Rock;Road;Grande-Bretagne;40;98610;Los Angeles;Denfert;Boulevard;Maroc
Laora;CoolName;29;9;1990;Paul;27;65495;Lille;de Ségur;Road;France;96;74266;Miami;Paul Lelent;DeadEnd;USA
Laouénan;CoolName;23;6;1965;Paul;21;56852;New York;Picasso;Boulevard;Maroc;48;45163;Cardiff;du Rock;Boulevard;USA
Lara;CoolName;25;11;1998;Charles;65;10434;Londres;de Ségur;DeadEnd;Maroc;29;61965;Miami;Gaité;Street;Maroc
Larissa;CoolName;4;8;1964;Paul;94;20986;New York;Royale;Avenue;Grande-Bretagne;82;54651;Lille;du Fion;Boulevard;Grande-Bretagne
Lars;Petit;9;3;1918;Charles;89;70996;Madrid;Gaité;Boulevard;France;98;68885;Madrid;De Gaulle;DeadEnd;Maroc
Lary;Coisne;11;3;1937;Paul;7;45996;Lille;de la pompe;DeadEnd;Grande-Bretagne;19;69478;Los Angeles;de Ségur;Avenue;France
Latuin;Coisne;4;11;1916;Paul;18;25682;Londres;Paul Lelent;Road;France;2;72173;Los Angeles;Pétain;Street;Grande-Bretagne
Laud;Martin;18;4;2014;Paul;96;65221;Bordeaux;Jean Valjean;Road;Grande-Bretagne;63;14748;New York;de la pompe;DeadEnd;France
Laudine;Bernard;26;3;1926;Paul;68;77057;New York;de la pompe;Boulevard;France;76;80002;Paris;du Fion;DeadEnd;Maroc
Laumer;Martin;30;10;1972;Paul;97;53562;Paris;D'Aguesseau;DeadEnd;Grande-Bretagne;44;61146;Londres;Picasso;Boulevard;Maroc
Laur;Coisne;24;5;1933;Paul;5;45197;Nantes;Pernetti;Avenue;USA;13;85078;Bath;Paul Lelent;DeadEnd;Maroc
Laura;Martin;8;12;1973;Paul;34;18147;Los Angeles;Royale;Boulevard;USA;97;91675;Marseilles;Semard;Avenue;USA
Laura Lee;Coisne;30;11;1994;Charles;15;11859;Miami;du Rock;Boulevard;USA;41;33252;Bath;du Rock;Boulevard;Maroc
Lauraine;CoolName;30;12;1957;Henry;71;40842;Nantes;Denfert;Boulevard;Maroc;19;11701;Paris;Charonne;DeadEnd;Maroc
Laurana;Martin;18;11;1964;Charles;86;67735;Paris;Caillard;Road;France;49;56979;Cardiff;du Fion;Avenue;Grande-Bretagne
Laurane;Martin;30;7;1978;Paul;95;18834;New York;Voltaire;Street;France;36;61682;Lille;Semard;Boulevard;Grande-Bretagne
Laure;Martin;25;4;1976;Charles;14;64145;Miami;Charonne;Avenue;USA;19;14447;Nantes;Voltaire;Boulevard;Grande-Bretagne
Laureen;CoolName;3;5;1920;Henry;60;56928;Lille;du Rock;Boulevard;Maroc;71;52396;Lille;Pernetti;DeadEnd;Maroc
Laurel;Martin;1;7;1986;Paul;81;37982;Nantes;Royale;Avenue;France;16;40653;Los Angeles;de la pompe;Avenue;France
Laureline;Coisne;19;5;1994;Henry;43;57924;Los Angeles;de Ségur;Street;France;57;82290;Casablanca;Semard;Avenue;Grande-Bretagne
Laurelle;Martin;7;12;1929;Henry;74;59186;Nantes;de Ségur;Avenue;USA;81;44060;Bath;D'Aguesseau;Boulevard;Grande-Bretagne
Lauren;Bernard;11;10;1993;Henry;59;47501;Nantes;Semard;Boulevard;USA;44;90779;Bordeaux;Caillard;Street;USA
Laurence;CoolName;12;5;2001;Henry;24;85209;Nantes;Denfert;DeadEnd;Grande-Bretagne;17;67706;Cardiff;de la pompe;Boulevard;USA
Laurène;Petit;24;3;1985;Charles;82;63647;Nantes;Semard;Boulevard;USA;73;51541;Paris;Pétain;Avenue;France
Laurèns;Martin;12;2;1973;Charles;37;86834;Londres;Royale;Boulevard;France;23;49829;Lille;Voltaire;Boulevard;USA
Laurent;Coisne;10;3;1956;Charles;28;69153;Casablanca;Jean Jaurès;Street;France;85;56137;Los Angeles;Caillard;Avenue;Grande-Bretagne
Mégane;Martin;12;6;1929;Henry;44;18552;Paris;Charonne;Street;Grande-Bretagne;51;24514;Londres;Caillard;Road;USA
Méganne;Petit;11;10;2006;Henry;25;87141;Nantes;Tahère;Avenue;Grande-Bretagne;90;92923;Casablanca;Obama;Street;Maroc
Meggie;Petit;2;4;1941;Charles;5;89488;Paris;Denfert;Road;Maroc;4;21015;Los Angeles;de la pompe;Avenue;France
Meghan(e);Coisne;12;3;2014;Charles;9;21062;Paris;de la pompe;Boulevard;Maroc;16;90047;Londres;Jean Jaurès;DeadEnd;France
Mehdi;CoolName;15;10;2004;Charles;59;27772;Miami;Paul Lelent;Road;Maroc;37;96081;Bordeaux;Pernetti;DeadEnd;Grande-Bretagne
Meï;Coisne;25;6;1968;Charles;96;98538;Miami;Denfert;Avenue;Grande-Bretagne;8;53077;Bordeaux;du Rock;Avenue;Grande-Bretagne
Meinrad;Petit;18;9;1926;Henry;9;32961;Miami;Denfert;Boulevard;USA;72;55520;Cardiff;Royale;Road;USA
Melaine;Petit;26;4;1952;Paul;11;96751;Marseilles;Pétain;Boulevard;USA;10;28476;Madrid;des Princes;Road;Maroc
Melan;Coisne;7;7;1918;Paul;65;56629;Londres;du Fion;Avenue;Grande-Bretagne;14;34020;Nantes;De Gaulle;Road;France
Mélane;Petit;2;6;1921;Henry;59;86291;Paris;Semard;Avenue;Maroc;24;92154;Madrid;de Paris;Street;USA
Mélanie;Coisne;11;5;1961;Charles;88;33307;Bath;de la pompe;Road;USA;97;25931;Paris;Pernetti;Avenue;France
Melchiade;Bernard;24;9;2015;Charles;91;71730;Londres;De Gaulle;DeadEnd;Maroc;99;17352;New York;du Rock;Road;USA
Melchior;Petit;19;4;2006;Henry;60;74556;Madrid;Voltaire;Street;Grande-Bretagne;10;21415;Paris;du Rock;DeadEnd;Maroc
Melchisédech;Martin;8;2;2009;Charles;53;61324;Casablanca;de Ségur;Avenue;USA;84;39215;Nantes;Picasso;DeadEnd;Grande-Bretagne
Mélèce;Coisne;7;11;1944;Paul;31;49552;Madrid;De Gaulle;Boulevard;France;7;99780;Lille;Jean Jaurès;Street;France
Melen;Petit;6;3;1988;Henry;16;28144;Paris;du Rock;Street;USA;85;62044;Lille;de Ségur;Road;USA
Mélia;Bernard;28;1;1931;Charles;65;26349;Cardiff;Jean Valjean;Street;USA;60;29198;Casablanca;Pernetti;Street;Maroc
Méliana;Martin;15;4;1961;Henry;67;71989;Marseilles;de la pompe;Boulevard;USA;73;19508;New York;Picasso;DeadEnd;Grande-Bretagne
Méliant;CoolName;27;7;1925;Charles;4;56957;Paris;Voltaire;DeadEnd;USA;25;67987;Los Angeles;Royale;DeadEnd;Maroc
Mélie;Coisne;29;3;2003;Henry;91;73273;Nantes;Caillard;Avenue;Maroc;82;71738;Casablanca;Caillard;DeadEnd;France
Mélina;CoolName;12;4;1961;Charles;3;52839;Lille;Charonne;Street;France;54;46384;Miami;de la pompe;Road;USA
Mélinda;Martin;9;12;1980;Henry;68;93365;Paris;du Rock;DeadEnd;Grande-Bretagne;77;36524;Marseilles;De Gaulle;DeadEnd;USA
Méline;Petit;29;11;1992;Paul;77;75056;Madrid;Zinedine Zidane;Avenue;Grande-Bretagne;49;15569;Londres;Gaité;Boulevard;USA
Mélinée;Bernard;17;3;2007;Charles;32;84299;Bordeaux;Zinedine Zidane;Road;USA;92;55833;Cardiff;Denfert;Road;USA
Mélisende;Petit;16;7;1946;Paul;28;85418;New York;Tahère;Boulevard;Grande-Bretagne;22;83266;Madrid;Picasso;DeadEnd;Grande-Bretagne
Mélissa;CoolName;18;1;2014;Charles;44;48112;Paris;Picasso;Avenue;Maroc;88;29882;Miami;Pernetti;Road;France
Mélissande;Bernard;10;8;1980;Charles;79;26106;Madrid;Caillard;Boulevard;USA;36;45954;Miami;du Rock;Street;Maroc
Melissandre;Martin;14;6;1999;Charles;76;93352;Bordeaux;Voltaire;Avenue;USA;47;20963;Londres;Royale;Boulevard;Maroc
Mélisse;Bernard;16;12;1947;Henry;40;42440;Londres;Gaité;DeadEnd;USA;5;38268;Casablanca;Denfert;DeadEnd;Grande-Bretagne
Mélithe;Coisne;27;2;1931;Charles;14;47866;Cardiff;Voltaire;Street;Grande-Bretagne;37;48584;Los Angeles;Charonne;DeadEnd;France
Mélitine;Bernard;25;7;1992;Paul;32;24445;Bath;De Gaulle;DeadEnd;USA;93;89388;Casablanca;du Fion;Avenue;Maroc
Méliton;Bernard;3;2;2002;Charles;91;21526;Los Angeles;de Ségur;DeadEnd;Grande-Bretagne;60;19931;Lille;Picasso;Boulevard;Maroc
Melle;Bernard;12;1;1971;Charles;42;81035;Nantes;de Ségur;Road;Maroc;67;79070;Bordeaux;Gaité;Boulevard;France
Mellitus;Martin;27;10;1968;Charles;83;49112;Londres;Jean Jaurès;Road;USA;31;84064;Casablanca;de la pompe;Street;Maroc
Mélodie;CoolName;27;11;1933;Charles;42;42038;Casablanca;D'Aguesseau;DeadEnd;Grande-Bretagne;79;93396;Marseilles;Pétain;Boulevard;Maroc
Mélodine;Martin;16;9;1969;Henry;35;83811;Madrid;Royale;Street;Grande-Bretagne;73;87231;Casablanca;des Princes;Road;USA
Melody;Martin;8;11;1990;Henry;60;26895;Bordeaux;Pétain;Avenue;Grande-Bretagne;12;56558;Cardiff;Semard;Boulevard;Grande-Bretagne
Méloé;Petit;30;1;1963;Henry;72;37958;Bath;de Paris;Road;Grande-Bretagne;56;77433;Cardiff;Voltaire;Avenue;France
Mélony;Coisne;20;5;2003;Henry;80;60658;Bath;Voltaire;DeadEnd;Maroc;70;86101;Bordeaux;Charonne;Street;USA
Mélusine;Bernard;19;6;1983;Charles;80;46704;Lille;Voltaire;Avenue;Grande-Bretagne;75;50554;Nantes;Denfert;Road;USA
Melvil;Petit;21;1;1966;Charles;84;50448;Madrid;Picasso;Road;France;59;41897;Paris;Jean Valjean;Street;USA
Melvin(e);Bernard;3;12;1915;Henry;32;39589;Paris;de Ségur;Boulevard;USA;58;11301;Londres;de Paris;Street;France
Melwan;Petit;2;2;2007;Henry;13;61302;Miami;de Paris;Avenue;Grande-Bretagne;41;20889;Paris;Denfert;Road;France
Mémin;Petit;26;9;1985;Charles;20;62288;New York;Voltaire;Boulevard;France;64;44299;Bordeaux;Picasso;DeadEnd;Grande-Bretagne
Memmie;Petit;2;4;1983;Paul;69;14248;Cardiff;du Rock;Avenue;Grande-Bretagne;92;87407;Miami;Denfert;Boulevard;France
Mémona;Coisne;23;5;1954;Charles;20;46993;Londres;Jean Jaurès;DeadEnd;USA;67;69843;Paris;Picasso;Road;Maroc
